,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode12
Rhizobium ruizarguesonis,1,1,1,0,2,1,2,0,1,0,2
Neorhizobium galegae,1,0,0,0,0,0,0,0,0,0,0
Candidatus Liberibacter asiaticus,1,0,1,1,2,2,0,0,0,0,0
Candidatus Liberibacter solanacearum,0,0,0,0,0,0,0,0,0,0,0
Candidatus Liberibacter africanus,0,0,0,0,1,0,0,0,0,0,0
Sinorhizobium meliloti,3,0,1,1,0,0,2,0,2,1,0
Sinorhizobium sojae,0,0,0,0,0,0,0,0,0,0,0
Sinorhizobium terangae,1,0,0,2,0,0,0,0,0,0,1
Microvirga thermotolerans,6,4,2,6,3,2,2,4,6,5,2
Methylobacterium sp. XJLW,1,0,1,0,1,2,1,0,0,0,1
Methylobacterium sp. WL1,1,2,1,3,0,1,0,0,0,0,1
Methylocella tundrae,11,12,4,11,14,9,5,7,19,3,6
Methylocapsa sp. D3K7,5,5,2,3,5,2,1,6,4,2,2
Methylovirgula sp. HY1,1,2,2,0,0,1,1,1,1,3,2
Beijerinckia indica,0,0,0,0,0,0,0,0,0,0,0
Mesorhizobium sp. Pch-S,2,1,1,0,3,0,0,1,0,0,0
Mesorhizobium sp. WR6,1,0,0,0,0,0,0,0,0,0,1
Mesorhizobium sp. AA22,1,0,0,0,0,1,0,1,3,0,1
Mesorhizobium sp. PAMC28654,1,0,0,0,0,0,1,2,0,0,0
Mesorhizobium sp. M2A.F.Ca.ET.043.05.1.1,1,1,0,0,1,1,0,1,1,0,1
Aquibium oceanicum,2,1,0,0,0,0,0,0,0,0,0
Chelativorans sp. AA-79,1,0,0,1,0,1,0,0,0,0,0
Methylocystis heyeri,1,2,0,1,0,0,0,1,5,1,0
Methylosinus sp. C49,2,0,0,1,1,1,0,0,1,0,1
Brucella ceti,0,0,0,0,0,0,0,0,0,0,0
Brucella sp. 458,2,0,0,2,2,1,0,0,5,0,0
Brucella anthropi,1,0,0,0,0,0,0,0,1,0,0
